#	Hex	Location	Bank[1]
000 	0x00 	Pallet Town 	6
001 	0x01 	Viridian City 	6
002 	0x02 	Pewter City 	6
003 	0x03 	Cerulean City 	6
004 	0x04 	Lavender Town 	11
005 	0x05 	Vermilion City 	6
006 	0x06 	Celadon City 	6
007 	0x07 	Fuchsia City 	6
008 	0x08 	Cinnabar Island 	7
009 	0x09 	Pokémon League 	14
010 	0x0A 	Saffron City 	14
011 	0x0B 	Unused Fly location 	1
012 	0x0C 	Route 1 	7
013 	0x0D 	Route 2 	15
014 	0x0E 	Route 3 	15
015 	0x0F 	Route 4 	15
016 	0x10 	Route 5 	15
017 	0x11 	Route 6 	16
018 	0x12 	Route 7 	12
019 	0x13 	Route 8 	16
020 	0x14 	Route 9 	15
021 	0x15 	Route 10 	16
022 	0x16 	Route 11 	16
023 	0x17 	Route 12 	16
024 	0x18 	Route 13 	15
025 	0x19 	Route 14 	15
026 	0x1A 	Route 15 	16
027 	0x1B 	Route 16 	16
028 	0x1C 	Route 17 	15
029 	0x1D 	Route 18 	16
030 	0x1E 	Sea Route 19 	15
031 	0x1F 	Sea Route 20 	14
032 	0x20 	Sea Route 21 	15
033 	0x21 	Route 22 	14
034 	0x22 	Route 23 	14
035 	0x23 	Route 24 	14
036 	0x24 	Route 25 	14
037 	0x25 	Red's house (first floor) 	12
038 	0x26 	Red's house (second floor) 	17
039 	0x27 	Blue's house 	6
040 	0x28 	Professor Oak's Lab 	7
041 	0x29 	Pokémon Center (Viridian City) 	11
042 	0x2A 	Poké Mart (Viridian City) 	7
043 	0x2B 	School (Viridian City) 	7
044 	0x2C 	House 1 (Viridian City) 	7
045 	0x2D 	Gym (Viridian City) 	1D
046 	0x2E 	Diglett's Cave (Route 2 entrance) 	7
047 	0x2F 	Gate (Viridian City/Pewter City) (Route 2) 	17
048 	0x30 	Oak's Aide House 1 (Route 2) 	7
049 	0x31 	Gate (Route 2) 	17
050 	0x32 	Gate (Route 2/Viridian Forest) (Route 2) 	17
051 	0x33 	Viridian Forest 	18
052 	0x34 	Pewter Museum (floor 1) 	17
053 	0x35 	Pewter Museum (floor 2) 	17
054 	0x36 	Gym (Pewter City) 	17
055 	0x37 	House with disobedient Nidoran♂ (Pewter City) 	7
056 	0x38 	Poké Mart (Pewter City) 	1D
057 	0x39 	House with two Trainers (Pewter City) 	7
058 	0x3A 	Pokémon Center (Pewter City) 	17
059 	0x3B 	Mt. Moon (Route 3 entrance) 	12
060 	0x3C 	Mt. Moon 	14
061 	0x3D 	Mt. Moon 	12
062 	0x3E 	Invaded house (Cerulean City) 	7
063 	0x3F 	Poliwhirl for Jynx trade house (Red/Blue)
064 	0x40 	Pokémon Center (Cerulean City) 	17
065 	0x41 	Gym (Cerulean City) 	17
066 	0x42 	Bike Shop (Cerulean City) 	7
067 	0x43 	Poké Mart (Cerulean City) 	17
068 	0x44 	Pokémon Center (Route 4) 	12
069 	0x45 	Invaded house - alternative music (Cerulean City) 	7
070 	0x46 	Saffron City Gate (Route 5) 	7
071 	0x47 	Entrance to Underground Path (Route 5) 	17
072 	0x48 	Daycare Center (Route 5) 	15
073 	0x49 	Saffron City Gate (Route 6) 	7
074 	0x4A 	Entrance to Underground Path (Route 6) 	17
075 	0x4B 	Entrance to Underground Path (alternative music) (Route 6) 	17
076 	0x4C 	Saffron City Gate (Route 7) 	7
077 	0x4D 	Entrance to Underground Path (Route 7) 	17
078 	0x4E 	Entrance to Underground Path (unused) (Route 7) 	17
079 	0x4F 	Saffron City Gate (Route 8) 	7
080 	0x50 	Entrance to Underground Path (Route 8) 	7
081 	0x51 	Pokémon Center (Rock Tunnel) 	12
082 	0x52 	Rock Tunnel 	11
083 	0x53 	Power Plant 	7
084 	0x54 	Gate 1F (Route 11-Route 12) 	12
085 	0x55 	Diglett's Cave (Vermilion City entrance) 	7
086 	0x56 	Gate 2F (Route 11-Route 12) 	12
087 	0x57 	Gate (Route 12-Route 13) 	12
088 	0x58 	Sea Cottage 	7
089 	0x59 	Pokémon Center (Vermilion City) 	17
090 	0x5A 	Pokémon Fan Club (Vermilion City) 	16
091 	0x5B 	Poké Mart (Vermilion City) 	17
092 	0x5C 	Gym (Vermilion City) 	17
093 	0x5D 	House with Pidgey (Vermilion City) 	7
094 	0x5E 	Vermilion Harbor (Vermilion City) 	7
095 	0x5F 	S.S. Anne 1F 	18
096 	0x60 	S.S. Anne 2F 	18
097 	0x61 	S.S. Anne 3F 	11
098 	0x62 	S.S. Anne B1F 	18
099 	0x63 	S.S. Anne (Deck) 	18
100 	0x64 	S.S. Anne (Kitchen) 	18
101 	0x65 	S.S. Anne (Captain's room) 	18
102 	0x66 	S.S. Anne 1F (Gentleman's room) 	18
103 	0x67 	S.S. Anne 2F (Gentleman's room) 	18
104 	0x68 	S.S. Anne B1F (Sailor/Fisherman's room) 	18
105 	0x69 	Unused (Victory Road) 	1D
106 	0x6A 	Unused (Victory Road) 	1D
107 	0x6B 	Unused (Victory Road) 	1D
108 	0x6C 	Victory Road (Route 23 entrance) 	17
109 	0x6D 	Unused (Pokémon League) 	1D
110 	0x6E 	Unused (Pokémon League) 	1D
111 	0x6F 	Unused (Pokémon League) 	1D
112 	0x70 	Unused (Pokémon League) 	1D
113 	0x71 	Lance's Elite Four room 	16
114 	0x72 	Unused (Pokémon League) 	1D
115 	0x73 	Unused (Pokémon League) 	1D
116 	0x74 	Unused (Pokémon League) 	1D
117 	0x75 	Unused (Pokémon League) 	1D
118 	0x76 	Hall of Fame 	16
119 	0x77 	Underground Path (Route 5-Route 6) 	18
120 	0x78 	Blue (Champion)'s room 	1D
121 	0x79 	Underground Path (Route 7-Route 8) 	18
122 	0x7A 	Celadon Department Store 1F 	18 (RB)
123 	0x7B 	Celadon Department Store 2F 	15
124 	0x7C 	Celadon Department Store 3F 	12
125 	0x7D 	Celadon Department Store 4F 	12
126 	0x7E 	Celadon Department Store Rooftop Square 	12
127 	0x7F 	Celadon Department Store Lift 	12
128 	0x80 	Celadon Mansion 1F 	12
129 	0x81 	Celadon Mansion 2F 	12
130 	0x82 	Celadon Mansion 3F 	12
